               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059676,            0.004691,            0.013538,           0.0035075,             0.10421,           0.0023095,          0.00050563,            0.039085,           0.0019881,            0.013653,            0.070053,           0.0033275,           0.0033275
                   1,            0.039381,           0.0020463,            0.011653,            0.072016,             0.10836,            0.064472,             0.01863,            0.035435,           0.0020511,            0.012679,            0.039833,            0.006441,            0.006441
                   2,              0.0391,           0.0017298,             0.01093,            0.008547,            0.011352,           0.0050526,           0.0017593,            0.060328,           0.0011982,             0.02436,           0.0093933,           0.0093345,           0.0093345
                   3,            0.038487,           0.0016329,            0.010689,            0.042998,             0.11249,            0.039592,            0.015857,            0.030556,           0.0021224,            0.014014,             0.00901,             0.00901,             0.00901
                   4,            0.034387,           0.0016708,            0.010712,           0.0066419,             0.28793,            0.042777,            0.013643,            0.030699,           0.0019361,            0.012879,             0.00901,             0.00901,             0.00901
                   5,            0.032089,           0.0017411,            0.010523,           0.0083149,             0.29102,             0.09071,            0.035694,            0.027547,               0.002,            0.011773,             0.00868,             0.00868,             0.00868
                   6,             0.02932,           0.0017032,            0.010213,           0.0057602,             0.31373,             0.12746,            0.050989,            0.023961,           0.0020327,             0.01215,             0.00835,             0.00835,             0.00835
                   7,            0.028561,           0.0016413,           0.0094444,            0.051299,             0.32294,             0.13668,            0.051956,            0.024128,           0.0019894,           0.0096293,             0.00802,             0.00802,             0.00802
                   8,            0.028461,            0.001572,           0.0092325,            0.095371,             0.33429,             0.19178,            0.090697,            0.022774,           0.0018728,           0.0094284,             0.00769,             0.00769,             0.00769
                   9,            0.026589,           0.0015848,           0.0083997,             0.04741,             0.39809,              0.1944,             0.08537,            0.024637,           0.0017888,            0.010706,             0.00736,             0.00736,             0.00736
                  10,            0.027013,           0.0014985,           0.0082052,             0.77908,             0.18163,             0.17094,            0.079253,            0.023859,           0.0017558,           0.0080686,             0.00703,             0.00703,             0.00703
                  11,            0.026374,           0.0014468,           0.0075649,             0.94888,            0.091155,             0.22611,              0.1137,            0.021789,           0.0017565,           0.0072132,              0.0067,              0.0067,              0.0067
                  12,            0.025604,           0.0014067,           0.0069116,             0.94026,             0.12288,             0.25893,             0.11995,            0.022083,           0.0017126,           0.0063875,             0.00637,             0.00637,             0.00637
                  13,             0.02669,           0.0013557,           0.0069587,             0.93629,             0.15722,             0.26115,             0.13349,            0.022303,           0.0015458,           0.0062922,             0.00604,             0.00604,             0.00604
                  14,             0.02486,           0.0012783,           0.0056975,             0.90118,             0.17144,             0.25906,              0.1316,            0.021903,           0.0015539,           0.0051572,             0.00571,             0.00571,             0.00571
                  15,            0.024541,           0.0012715,           0.0058452,             0.91138,             0.19505,             0.29415,             0.15507,             0.02066,           0.0014746,           0.0064971,             0.00538,             0.00538,             0.00538
                  16,            0.023578,           0.0012203,           0.0057615,             0.94004,             0.13622,             0.27847,             0.14452,            0.019472,           0.0016663,           0.0055998,             0.00505,             0.00505,             0.00505
                  17,            0.023042,           0.0012108,           0.0057192,             0.90151,             0.17234,             0.32367,             0.16602,            0.021723,           0.0014382,           0.0050761,             0.00472,             0.00472,             0.00472
                  18,             0.02286,            0.001159,           0.0054211,             0.91263,             0.22807,             0.35593,             0.18926,            0.019633,           0.0013069,           0.0056797,             0.00439,             0.00439,             0.00439
                  19,            0.021532,           0.0011822,           0.0046342,             0.92019,             0.22704,             0.37588,                0.19,            0.019075,           0.0013256,           0.0039675,             0.00406,             0.00406,             0.00406
                  20,            0.021798,            0.001128,           0.0051846,             0.90568,             0.22188,             0.40016,             0.20538,            0.019922,            0.001308,           0.0037257,             0.00373,             0.00373,             0.00373
                  21,             0.02212,            0.001125,           0.0049261,             0.92729,               0.258,             0.39493,             0.20241,            0.019403,           0.0011966,           0.0043248,              0.0034,              0.0034,              0.0034
                  22,            0.021259,            0.001054,           0.0046229,             0.92492,             0.22718,             0.38941,             0.20363,            0.019517,           0.0012512,           0.0036054,             0.00307,             0.00307,             0.00307
                  23,            0.021311,           0.0011082,           0.0051793,             0.92004,             0.24149,              0.3923,             0.19014,            0.018952,           0.0012388,           0.0036636,             0.00274,             0.00274,             0.00274
                  24,            0.019914,           0.0010679,           0.0047174,             0.91949,             0.25278,             0.38916,              0.2053,            0.019275,           0.0012148,           0.0032587,             0.00241,             0.00241,             0.00241
                  25,            0.020121,           0.0010315,           0.0043419,             0.92897,             0.26006,              0.4189,             0.22424,            0.018308,           0.0011938,           0.0033576,             0.00208,             0.00208,             0.00208
                  26,            0.019681,           0.0010364,           0.0044101,             0.92051,             0.26625,             0.44169,              0.2361,            0.017893,           0.0011917,           0.0031215,             0.00175,             0.00175,             0.00175
                  27,            0.019107,            0.001042,           0.0041864,             0.92599,             0.26832,             0.44235,             0.24308,             0.01822,           0.0011585,           0.0029364,             0.00142,             0.00142,             0.00142
                  28,            0.019078,           0.0010242,           0.0037726,             0.92522,             0.26402,             0.44379,             0.24248,            0.017678,           0.0011612,           0.0030577,             0.00109,             0.00109,             0.00109
                  29,            0.018368,           0.0010232,           0.0040992,             0.92955,             0.26316,             0.43745,             0.24006,            0.017199,           0.0011401,           0.0029515,             0.00076,             0.00076,             0.00076
